Feature.ID	B13_FFPE_T1gIII_RPKM_fwd_RNA.Seq	B13_FF_T1gIII_RPKM_fwd_RNA.Seq	B11_FFPE_TagII_RPKM_fwd_RNA.Seq	B11_FF_TagII_RPKM_fwd_RNA.Seq	B11_FFPE_T2gII_RPKM_fwd_RNA.Seq	B11_FF_T2gII_RPKM_fwd_RNA.Seq	B12_FFPE_TagII_RPKM_fwd_RNA.Seq	B12_FF_TagII_RPKM_fwd_RNA.Seq	B12_FFPE_T1gII_RPKM_fwd_RNA.Seq	B12_FF_T1gII_RPKM_fwd_RNA.Seq	B14_FFPE_TagII_RPKM_fwd_RNA.Seq	B14_FF_TagII_RPKM_fwd_RNA.Seq	B14_FFPE_T1gIII_RPKM_fwd_RNA.Seq	B14_FF_T1gIII_RPKM_fwd_RNA.Seq	B15_FF_T2grIII_RPKM_fwd_RNA.Seq	B15_FFPE_T2grIII_RPKM_fwd_RNA.Seq
MINPP1	0.131	1.964	0.077	0.405	0.105	3.536	1.247	5.553	0.432	5.621	0.657	3.969	0.504	5.287	3.772	0.457
MIOS	0.324	7.148	0.383	2.957	0.936	11.843	4.297	8.773	0.787	11.303	1.252	8.432	2.102	13.34	9.26	1.527
MIOX	0	0	0	0	0	0	0	0.026	0	0	0	0.007299	0	0.006976	0.036	0
MIP	0	0	0	0	0	0.039	0.032	0.007147	0	0	0	0.036	0	0.104	0.054	0
MIPEP	0	1.081	0.209	0.335	0.214	3.426	1.107	4.205	0.196	4.45	0.149	2.556	0.343	4.721	5.483	0.396
MIPOL1	0.135	2.546	0.319	3.671	0.244	2.877	1.869	3.001	0.596	2.587	0.595	2.345	0.391	2.168	1.636	0.602
MIR205HG	4.594	80.587	5.704	49.242	2.713	59.784	28.645	114.137	9.073	97.61	13.795	52.183	11.755	64.549	17.748	6.002
MIS12	0.303	1.741	0.357	2.043	1.093	9.496	0.856	2.861	0.585	3.236	0.826	3.971	0.643	5.45	3.381	0.916
MIS18A	0	3.202	0.486	0.444	0.33	4.913	1.231	3.132	0.303	4.243	0.691	3.191	1.165	9.692	8.837	1.573
MIS18BP1	0.767	9.691	0.639	5.212	0.832	12.678	3.959	6.376	1.046	5.962	1.629	9.026	2.16	15.847	17.472	2.442
MITD1	0.474	17.385	0	5.178	1.14	17.207	5.265	10.651	1.308	9.263	1.591	13.301	1.097	10.178	9.536	2.564
MITF	0	1.962	0.042	0.993	0	0.93	0.896	4.529	0.234	1.195	0.445	0.656	0.164	0.291	0.591	0.473
MIXL1	0	0	0	0	0	0.058	0	0	0	0	0	0.015	0	0.014	0	0
MKI67	1.191	41.974	1.099	1.471	1.3	10.362	2.105	2.4	1.162	7.89	2.606	11.602	5.314	27.749	21.77	4.822
MKI67IP	1.117	23.365	0.585	3.414	1.293	19.916	5.271	18.404	1.233	20.367	3.54	13.198	2.394	22.943	20.017	2.369
MKKS	0.337	4.167	0.238	1.145	0.27	14.388	2.782	5.914	0.223	6.411	0.622	4.982	0.728	5.413	6.241	0.686
MKL1	0.192	2.322	0.17	1.322	0.231	3.595	1.292	2.653	0.212	2.707	0.564	2.696	0.704	2.541	3.637	0.948
MKL2	0.55	9.82	0.236	1.968	0.481	6.817	3.748	7.226	1.627	5.258	1.404	7.993	1.716	9.19	8.287	1.669
MKLN1	0.661	7.12	0.557	2.201	0.772	9.824	7.215	10.834	1.71	8.07	2.378	10.69	2.507	11.663	8.069	1.695
MKNK1	0.384	4.955	0.453	4.617	0.369	5.866	2.632	4.809	0.169	4.465	0.644	4.972	0.829	4.527	5.474	0.928
MKNK2	1.709	17.085	0.941	2.705	1.279	9.108	8.061	14.572	2.012	15.079	2.916	10.416	3.562	17.092	19.683	3.953
MKRN1	1.251	19.132	0.632	3.278	2.34	17.519	14.535	27.27	3.354	28.818	5.049	19.05	6.391	29.643	30.8	7.015
MKRN2	0.078	5.059	0.368	2.355	0.75	6.683	3.098	8.616	0.688	6.973	1.7	4.647	1.504	6.995	11.684	1.786
MKRN3	0	0	0.281	0	0	0.007406	0	0.027	0	0	0	0.003865	0	0.033	1.219	0.556
MKS1	0.085	1.147	0.1	0.87	0.068	1.661	0.727	2.625	0.187	3.019	0.712	1.469	0.196	2.5	2.91	0.486
MKX	0	0.02	0	0	0.048	0.116	0	0.026	0	0.007696	0	0.008647	0	0.044	0.321	0.226
MLANA	0	0	0	0.153	0	0.026	0	0.049	0	0.018	0	0.021	0	0.118	0.008411	0
MLC1	0	0	0	0	0	0.009631	0	0.018	0	0	0	0.04	0	0.034	0.255	0
MLEC	1.121	15.031	1.242	3.345	2.559	27.335	9.267	24.735	2.399	31.777	3.905	17.861	4.588	28.457	28.506	3.805
MLF1	0	3.427	0	0.11	0.066	3.063	0.35	0.989	0.18	0.998	0.137	0.771	0.126	1.269	6.706	0.416
MLF1IP	0.338	7.005	0.1	1.506	0.068	3.413	0.428	1.301	0.093	2.779	0.568	3.64	0.914	9.764	14.598	1.561
MLF2	0.62	6.499	0.549	2.217	1.616	14.812	5.74	15.745	1.369	22.871	1.431	7.925	3.111	13.238	19.343	5.131
MLH1	0.295	7.837	0.435	2.529	0.651	9.71	2.791	6.949	0.326	6.165	1.239	7.759	1.595	10.566	6.894	1.598
MLH3	0.246	4.127	0.58	2.159	0.394	3.444	3.811	4.769	0.874	3.575	1.146	5.603	1.96	5.996	4.003	1.321
MLIP	0.119	0.121	0	0	0	0.022	0	0	0	0.046	0	0	0	0.028	0.021	0
MLKL	0.255	7.903	0.201	3.325	0.273	7.067	1.756	4.232	0.469	3.014	0.499	4.552	0.59	3.734	4.957	0.703
MLL	0.754	7.267	0.629	2.51	0.761	6.347	6.038	7.712	1.678	5.699	2.781	9.83	3.149	9.298	7.947	2.134
MLL2	0.655	8.342	0.485	2.873	0.792	4.085	4.216	4.037	1.201	3.307	2.255	6.259	1.363	2.851	6.849	2.007
MLL3	1.317	21.138	1.071	6.769	1.292	14.372	13.015	14.585	3.713	13.019	4.883	20.179	5.399	22.327	22.184	5.324
MLL4	0.255	5.406	0.18	1.731	0.531	2.492	2.56	3.394	1.068	3.849	1.175	3.563	1.218	3.685	6.478	1.637
MLL5	1.917	38.263	0.927	9.316	2.191	24.251	15.039	19.973	4.474	15.515	6.724	25.271	6.669	25.895	21.939	5.8
MLLT1	0.383	4.046	0.282	1.433	0.499	3.235	2.388	4.063	1.004	5.402	0.442	3.348	1.182	3.618	5.358	1.554
MLLT10	0.658	10.613	0.172	3.786	0.586	8.018	4.743	8.56	1.21	8.462	2.423	9.482	2.003	9.083	7.138	2.024
MLLT11	0.2	3.75	0	0.35	0.16	1.649	0.312	1.218	0.221	1.35	0.503	3.762	0.926	5.648	21.877	3.308
MLLT3	0.439	2.184	0	0.795	0.302	5.611	1.662	5.718	0.346	1.938	0.579	3.587	0.194	2.856	3.638	1.237
MLLT4	0.922	14.13	1.088	3.72	0.774	10.81	9.202	14.586	2.178	12.883	3.275	12.722	3.525	14.184	9.434	2.28
MLLT6	1.438	8.049	1.255	4.034	1.383	7.456	12.451	16.895	3.936	14.115	4.198	7.717	3.95	8.968	7.698	4.118
MLN	0	0	0	0	0	0.035	0	0	0	0.098	0	0	0	0.035	0	0
MLNR	0	0	0	0	0	0	0	0	0	0	0	0.008465	0	0.00809	0.01	0
MLPH	0.345	7.978	0.135	4.012	0.736	5.346	2.081	4.566	0.697	7.657	1.301	3.415	1.152	2.575	3.894	0.877
MLST8	0.315	6.45	0.247	1.188	0.336	4.593	1.267	4.839	0.579	6.031	0.176	3.064	0.728	5.209	4.262	0.667
MLX	0.253	4.553	0.397	2.657	0.472	7.791	3.871	13.62	0.186	14.396	0.848	5.322	0.715	9.234	12.148	1.982
MLXIP (NC_000012 122516651..122517172)	0	0.28	0.488	0.558	0.332	1.235	1.452	1.574	0	1.236	0	0.362	0.639	0.75	3.075	1.054
MLXIP (NC_000012 122611799..122628989)	0.65	3.762	0.715	0.701	0.347	4.089	3.899	5.075	0.86	4.42	1.49	4.979	1.805	3.508	7.66	3.252
MLXIPL	0	0.111	0.078	0	0	0.031	0	0	0	0.051	0	0.026	0	0.015	0.364	0.335
MLYCD	0.295	2.657	0	1.643	0.158	2.216	1.034	4.042	0.217	2.871	0.247	2.719	0.379	2.786	3.72	0.25
MMAA	0.036	1.276	0	0.392	0.175	2.625	0.764	1.756	0.28	0.792	0.609	1.581	0.28	1.636	2.864	0.346
MMAB	0	1.444	0.061	0.506	0.292	2.754	0.548	1.743	0.115	2.483	0.612	1.391	0.362	2.243	2.283	0.398
MMACHC	0.151	0.819	0	0.408	0.121	1.608	0.678	1.642	0.084	1.444	0.635	1.321	0.175	1.917	2.001	0.385
MMADHC	2.101	23.946	1.062	4.737	2.526	56.651	10.879	44.699	1.491	46.208	5.289	27.093	2.201	45.544	50.061	5.349
MMD	0.079	0.562	0.093	0.107	0.127	3.034	0.123	0.842	0	0.895	0.066	1.433	0.183	1.347	4.086	0.605
MMD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016	0.031	0
MME	0.215	0.326	0.169	0.039	0.401	5.892	0.042	0.068	0	0.302	0.15	1.368	0.248	2.679	1.415	0.296
MMEL1	0.074	0.126	0	0.1	0	0.118	0.058	1.22	0	1.274	0.125	0.296	0.057	0.556	0.755	0.095
MMGT1	0.414	5.856	0.279	0.526	0.663	13.72	2.58	7.731	0.783	9.458	0.794	4.221	0.456	7.111	6.346	0.677
MMP1	0.315	0.461	0.371	0.142	1.43	19.23	2.863	8.318	1.274	35.514	3.963	15.776	0.405	5.702	3.755	0.534
MMP10	0.123	0.041	0.145	0.066	1.376	5.919	4.157	6.824	1.624	40.344	4.732	49.979	3.028	54.958	0.496	0.468
MMP11	0	0.387	0.113	0.077	0.688	6.019	0.149	0.8	0.211	1.511	0.32	2.449	0.147	1.973	1.525	1.821
MMP12	0	3.886	0	0.155	0.553	30.215	0.269	0.318	0.127	0.911	0.579	4.976	0	2.314	4.872	0.073
MMP13	0	0.509	0	0.021	0.064	0.961	0.124	0.213	0.088	2.544	0.998	0.579	0.061	0.774	0.66	0.151
MMP14	1.341	17.412	0.431	2.154	1.906	18.828	6.2	21.975	2.018	26.525	4.092	21.967	3.434	18.393	21.496	7.022
MMP15	0.194	3.647	0.057	0.551	0.156	1.286	0.663	2.902	0.107	4.455	0.245	3.091	0.338	4.289	2.998	0.309
MMP16	0.034	0.161	0	0.009183	0.027	0.346	0.119	0.203	0	0.008841	0.171	1.051	0.053	0.449	0.437	0.195
MMP17	0	0.182	0.106	0	0	0.058	0	0	0	0	0.075	0.057	0	0.096	0.602	0.114
MMP19	0.066	0.583	0	0.125	0.213	0.642	0.103	0.498	0.073	0.232	0.111	0.957	0.102	0.471	0.709	0.506
MMP2	0.224	5.976	0.397	0.712	3.194	19.206	3.499	18.887	1.115	10.304	3.767	16.321	2.642	12.121	12.675	9.573
MMP20	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031	0.111	0
MMP21	0	0.038	0	0	0	0.031	0	0	0	0.015	0.094	0.022	0	0.084	0.067	0
MMP23B	0	0	0	0	0	0.34	0	0.391	0	0.203	0	0.355	0	0.259	0.372	0.111
MMP24	0	0	0	0.067	0	0.135	0	0.073	0	0.058	0.042	0.039	0	0.095	0.225	0
MMP25	0	0.246	0	0.016	0.146	0.402	0	0.031	0.067	0.016	0	0.215	0	0.042	0.151	0.116
MMP26	0	0	0	0	0	0	0	0	0	0	0	0.011	0	0.071	0.013	0
MMP27	0	0	0	0	0	0.073	0	0	0	0	0	0.013	0	0.061	0.031	0
MMP28	0.151	0.563	0.179	2.84	0.304	3.05	1.033	7.202	0.167	3.945	0.254	0.556	0.409	1.472	11.603	1.254
MMP3	0	0	0	0	0.095	0.682	0	0.051	0	0	0.198	27.667	0	0.082	4.327	0.075
MMP7	0.193	1.042	0	0.208	1.699	8.281	0.751	5.197	0	0.075	3.073	12.963	0.297	1.433	0.103	0.123
MMP8	0	0	0	0	0	0	0	0	0	0	0	0.027	0	0.026	0.071	0
MMP9	0.185	3.152	0	0.075	0.074	2.237	0.072	0.207	0	0	0	3.502	0	0.09	0.461	0.176
MMRN1	0	0.117	0	0.07	0.07	1.141	0.101	0.176	0	0.005636	0.036	0.395	0.033	0.129	0.054	0.166
MMRN2	0.052	2.459	0.183	0.696	0.207	3.203	3.459	20.04	0.456	3.618	1.299	4.843	0.995	6.655	3.585	0.722
MMS19	0.351	5.103	0.207	1.231	0.235	3.616	2.098	7.044	0.904	10.591	1.178	5.537	1.219	7.462	7.578	1.117
MMS22L	0.025	1.645	0.118	0.572	0.12	2.756	0.564	1.014	0.055	1.189	0.188	1.494	0.404	2.592	2.024	0.222
MN1	0	0.116	0	0.038	0.023	0.12	0	0.052	0	0.019	0.024	0.071	0	0.092	0.154	0.054
MNAT1	0.312	7.38	0.184	3.534	0.75	11.162	4.801	7.332	0.861	9.133	2.224	8.099	3.249	10.64	8.592	3.077
MND1	0	3.24	0.269	0.554	0.549	2.68	0.267	0.651	0	2.519	0.191	1.743	0.704	4.54	3.785	0.726
MNDA	0.259	2.886	0.153	0.349	0.519	7.066	0.353	1.196	0	0.218	0.326	5.398	0.1	0.764	1.046	0.247
MNF1	0.484	5.558	0.38	2.783	0.129	6.144	1.885	6.729	0.356	7.849	0.541	5.934	0.622	6.271	7.923	0.821
MNS1	0.107	1.117	0	0.144	0	0.556	0.332	0.267	0	0.208	0.268	0.539	0.411	1.273	1.293	0.611
MNT	0.089	2.59	0.21	0.805	0.357	1.922	1.927	1.609	1.082	1.978	0.897	2.16	1.753	2.849	3.182	1.219
MNX1	0	0.028	0	0	0	0	0.064	0.036	0	0.171	0	0.072	0.064	0.334	0.363	0.105
MOAP1	0.625	5.248	0.105	0.987	0.715	6.196	3.095	6.941	0.689	6.744	1.497	4.413	0.964	5.814	4.142	1.136
MOB1A	1.298	20.297	0.766	3.152	1.821	53.133	10.878	45.19	1.97	53.798	3.268	27.503	3.131	48.43	57.119	4.958
MOB1B	0.404	4.382	0.179	1.248	0.567	5.787	3.654	5.493	1.171	4.66	1.294	5.263	1.112	9.535	5.876	1.544
MOB2	0.128	2.249	0	0.69	0.308	3.445	0.798	4.577	0.141	5.714	0.429	1.904	0	2.212	3.277	0.977
MOB3A	0.453	2.211	0	0.664	0.259	3.633	1.186	1.975	0.572	3.203	0.598	3.042	0.6	2.016	3.521	0.742
MOB3B	0.066	0.391	0.078	0.116	0.132	1.26	0.361	0.566	0.073	0.24	0.083	0.518	0.102	0.35	0.336	0.126
MOB3C	0.506	6.13	0.17	3.625	1.042	5.488	4.28	9.567	1.356	10.536	1.031	4.308	1.673	4.973	7.678	1.747
MOB4	0.055	2.845	0.064	0.206	0.175	4.863	0.362	1.143	0.422	2.107	0.092	0.911	0.759	6.174	3.16	0.383
MOBP	0	0	0	0.019	0	0.006533	0	0	0	0	0	0.006817	0	0.029	0.042	0
MOCOS	0.316	1.577	0.093	2.411	0.127	4.268	1.757	4.347	0.087	3.44	0.465	2.965	0.61	3.628	5.199	1.007
MOCS1	0.39	1.979	0.115	0.592	0.117	0.832	1.692	3.741	0.054	1.78	0.901	2.859	0.678	2.164	7.778	2.174
MOCS2	0.273	5.082	0.322	1.733	0.438	9.337	2.131	8.647	0.754	7.117	1.491	5.929	0.633	7.248	10.016	1.566
MOCS3	0	2.076	0	0.26	0.141	2.879	0.752	4.573	0.484	4.797	0.663	1.959	0.474	3.083	3.52	0.223
MOG	0	0.033	0	0	0	0.009104	0	0	0	0	0	0.00475	0	0.018	0.029	0
MOGAT1	0	0	0	0.053	0.158	0	0	0.034	0	0	0	0.00957	0	0.027	0.164	0
MOGAT2	0	0.653	0	0	0.172	0.16	1.004	4.229	0.237	0.697	0.18	1.482	0	0.239	1.288	0
MOGAT3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021	0.036	0
MOGS	0.596	5.591	0.527	2.231	0.597	5.617	2.003	7.649	0.411	11.376	1	4.047	0.632	5.204	8.307	1.091
MOK	0.112	1.169	0	0.572	0.447	2.817	0.217	0.858	0.123	0.492	0.468	2.213	0.947	5.903	1.737	0.568
MON1A	0.193	2.321	0.114	0.444	0.078	1.677	0.264	1.998	0.107	2.625	0.325	1.293	0.373	1.623	1.816	0.308
MON1B	0.195	5.767	0.23	1.686	0.313	4.436	2.081	5.695	0.503	5.116	1.038	4.38	0.704	3.974	6.889	1.119
MON2	0.353	4.791	0.27	4.075	0.466	7.218	3.361	6.304	1.009	5.629	1.709	7.319	1.026	6.535	5.894	0.78
MORC1	0	0	0	0	0	0	0	0.02	0	0.015	0	0.022	0	0.13	0.17	0
MORC2	0.772	8.079	0.342	3.256	0.387	5.071	2.258	4.724	0.959	4.896	2.269	7.516	1.937	7.6	14.724	2.335
MORC3	0.762	11.452	0.659	4.987	0.855	18.003	6.552	17.67	2.13	17.597	2.856	15.7	3.097	23.344	17.456	2.651
MORC4	0.337	4.83	0.066	1.077	0.135	5.584	1.052	2.927	0.248	6.691	0.85	2.785	0.434	3.485	4.614	0.895
MORF4L1	2.597	33.058	1.414	6.548	3.203	52.072	16.428	38.885	5.072	29.056	9.052	34.2	8.326	46.503	43.876	8.901
MORF4L2	1.957	30.697	0.693	11.113	2.51	55.377	12.699	35.859	1.836	70.865	6.486	24.175	4.38	43.457	56.986	8.782
MORN1	0.657	0.489	0.155	0.106	0.316	0.392	0.205	0.545	0	0.478	0.331	0.518	0	0.373	0.883	0.335
MORN2	0.291	1.574	0	0.393	0.7	2.251	0.113	3.245	0.321	4.006	0	2.194	0.449	3.639	10.968	2.408
MORN3	0	0.315	0	0.05	0.149	0.087	0	0.322	0	0.097	0.156	0.063	0.144	0.052	0.277	0
MORN4	0	0.793	0	0.068	0	0.383	0.62	1.007	0	1.023	0.352	0.603	0.065	0.802	1.589	0.267
MORN5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057	0.055	0
MOS	0	0	0	0	0	0	0	0	0	0	0	0	0	0.029	0.025	0
MOSPD1	0.183	1.917	0.108	0.543	0.22	7.075	0.855	3.407	0.303	5.95	0.691	2.856	0.424	3.873	4.566	0.931
MOSPD2	0.447	2.98	0.075	0.982	0.41	5.269	2.066	4.787	0.846	3.874	0.536	3.054	0.345	2.165	4.685	0.773
MOSPD3	0	1.042	0.182	0.624	0.124	1.552	0.421	3.451	0.17	3.483	0.259	1.334	0.238	1.806	1.796	0.196
MOV10	0.178	4.371	0.14	3.472	0.333	7.275	1.942	5.634	0.524	4.483	0.747	4.2	0.961	5.668	4.922	0.642
MOV10L1	0.05	0.118	0	0.014	0.08	0.266	0.078	0.03	0	0	0.084	0.156	0.039	0.114	0.512	0.159
MOXD1	0.142	0.12	0.084	0.077	0.114	1.627	0.083	1.73	0	0.166	0	1.108	0.164	0.524	1.578	1.852
MPC1	0.362	6.783	0	1.853	0.725	7.144	2.395	8.265	1.197	8.451	0.455	4.73	0.698	8.999	10.358	1.151
MPC2	0.777	5.419	0	0.603	0.234	4.473	2.574	7.548	0.751	7.115	1.712	4.115	1.125	6.249	8.967	1.175
MPDU1	0.532	1.304	0	0.574	0.32	2.554	0.933	4.025	0	5.909	0.223	2.193	0.924	3.964	2.277	0.423
MPDZ	0.308	3.155	0.198	1.157	0.337	4.103	1.453	2.211	0.402	2.806	0.682	2.903	1.427	6.381	3.013	1.159
MPEG1	0.335	2.165	0.226	0.49	1.226	10.309	0.373	2.045	0	0.726	0.842	3.582	0.221	1.244	3.281	1.095
MPG	0.154	1.567	0.182	0.417	0.124	2.793	0.662	4.753	0	6.399	0.259	1.525	0.238	2.355	2.36	0.59
MPHOSPH10	1.302	20.096	0.819	3.09	1.322	10.216	7.847	11.184	2.778	11.732	4.151	12.654	3.416	19.12	25.276	6.021
MPHOSPH6	0.588	17.945	0.462	5.548	0.471	10.078	2.519	7.483	0.432	8.979	1.808	11.079	2.116	16.515	18.663	3.366
MPHOSPH8	0.859	15.134	0.596	2.358	0.527	5.289	8.96	10.792	2.398	7.769	3.562	7.505	2.106	6.649	9.896	3.892
MPHOSPH9	0.179	5.128	0.704	1.837	0.527	11.762	0.884	1.982	0.527	3.157	1.203	5.414	1.106	7.106	9.052	1.14
MPI	0.244	3.376	0.144	2.234	0.293	4.869	1.851	5.536	0.134	5.25	1.022	3.719	0.564	3.781	4.169	0.388
MPL	0	0.04	0	0	0	0.061	0	0.031	0	0.015	0	0.02	0	0.03	0.084	0
MPLKIP	0	3.022	0.27	1.113	0	6.878	1.161	4.298	0.506	7.53	0.577	4.057	0.177	6.317	5.817	0.583
MPND	0.26	2.112	0.154	1.018	0.522	2.705	1.572	3.543	0.718	6.406	0.437	2.602	0.402	3.273	2.684	0.746
MPO	0	0	0	0	0	0.006252	0	0	0	0	0	0	0	0.019	0.044	0
MPP1	0.098	0.83	0.232	0.212	0.315	2.562	0.153	0.848	0.108	0.854	0.082	1.251	0.152	0.776	2.865	0.562
MPP2	0	0.132	0	0.026	0.039	0.191	0.076	0.038	0	0.095	0	0.15	0	0.116	1.941	0.218
MPP3	0.076	0.849	0	0.328	0.061	0.532	0.059	0.467	0	0.593	0.191	0.385	0.176	0.336	0.556	0.194
MPP4	0	0	0	0	0	0.041	0	0.007583	0	0	0	0.021	0	0.02	0.083	0
MPP5	0.615	4.901	0.499	2.407	0.678	9.09	3.162	7.173	0.764	5.204	0.936	6.529	1.246	7.954	9.278	1.713
MPP6	0.394	2.333	0.116	0.559	0.395	3.75	1.922	3.784	0.109	5.186	1.572	6.983	0.609	4.171	2.585	1.004
MPP7	0.497	4.074	0.147	1.229	0.498	9.458	2.518	6.716	0.274	4.389	1.008	3.245	0.543	5.6	12.353	1.977
MPPE1	0.437	4.21	0.172	1.984	0.409	7.209	1.817	6.087	0.482	4.738	0.856	3.439	0.337	1.649	1.697	0.417
MPPED1	0	0	0	0.023	0	0	0.067	0.186	0	0	0	0.008364	0	0.012	0.036	0.055
MPPED2	0.06	0.202	0	0.186	0.072	0.279	0.606	0.419	0.165	0.901	0.301	0.306	0.185	0.587	0.076	0.038
MPRIP	0.626	8.214	0.715	3.299	0.925	5.963	8.525	10.794	1.944	11.28	3.759	12.908	4.983	15.87	4.696	2.378
MPST	0.132	2.991	0.156	0.463	0.212	2.93	1.338	5.262	0.146	3.481	0.332	1.766	0	3.069	6.068	0.42
MPV17	0.214	7.747	1.263	3.293	2.575	9.841	4.173	7.589	0.709	7.815	2.336	7.28	2.644	6.341	6.976	3.408
MPV17L	0.187	1.042	0.11	0.202	0	0.383	0.146	0.315	0	0.243	0.157	0.559	0.072	0.486	1.355	0.059
MPV17L2	0	0.429	0	0.214	0	1.02	0.433	1.398	0	1.689	0.266	0.54	0	0.553	3.553	0.202
MPZ	0.11	0.82	0	0.179	0	0.37	0.344	0.753	0.244	0.559	0.37	0.354	0.085	0.61	0.229	0.281
MPZL1	1.722	20.794	0.914	1.846	0.794	15.675	7.147	24.838	1.473	27.692	2.817	11.899	2.89	23.909	25.993	4.082
MPZL2	1.962	37.618	1.037	5.493	2.603	36.393	18.982	81.909	4.928	105.916	6.131	36.315	7.205	82.584	33.691	3.272
MPZL3	0.219	2.67	0.259	1.243	0.352	3.292	2.48	4.949	0.484	5.498	1.289	3.948	0.677	6.027	4.629	0.279
MR1	0.439	5.51	0.291	1.688	0.418	5.353	4.93	13.385	0.818	5.929	1.358	8.173	1.016	6.337	5.219	0.995
MRAP	0	0.059	0	0.141	0	0.309	0	0.211	0	0.136	0.147	0.263	0.135	0.512	0.218	0
MRAP2	0	0.099	0	0.053	0	0.481	0.304	0.455	0	0.24	0.082	0.128	0	0.566	0.284	0.124
MRAS	0.084	0.924	0	0.227	0.101	2.557	0.164	0.669	0.046	0.24	0.106	1.262	0.162	1.572	5.827	1.633
MRC1	0.042	0.479	0	0.191	0.201	1.563	0.488	1.107	0	0.471	0.245	1.434	0.161	0.426	3.314	0.425
MRC2	0.144	1.533	0.042	0.456	0.317	1.926	0.533	2.402	0.119	1.346	0.604	2.937	0.583	3.6	1.363	0.939
MRE11A	0.37	5.362	0.242	1.973	0.329	5.619	2.562	5.09	0.454	5.176	1.172	5.556	0.825	7.455	5.388	1.255
MREG	0.604	5.105	0.079	0.471	0.43	5.499	2.197	6.527	0.963	4.75	1.295	4.72	0.57	4.817	2.884	0.427
MRFAP1	4.921	50.567	2.819	5.803	8.79	54.248	18.41	44.692	4.345	41.716	12.623	35.178	12.369	58.575	51.801	14.049
MRFAP1L1	1.761	23.355	0.479	5.445	1.737	27.954	9.767	28.405	2.392	21.532	6.593	19.343	3.973	26.577	21.587	4.397
MRGPRD	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052	0.027	0
MRGPRE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009891	0
MRGPRF	0	0.16	0	0.025	0	0.51	0.037	0.571	0	0.061	0.158	0.243	0.073	0.263	0.241	0.06
MRGPRX1	0	0	0	0	0	0	0	0.016	0	0	0	0	0	0.034	0.118	0
MRGPRX2	0	0	0	0	0	0	0	0.009155	0	0	0	0	0	0.009847	0.031	0
MRGPRX3	0	0	0	0.035	0	0.012	0	0.034	0	0	0	0.006399	0	0.018	0.07	0
MRGPRX4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006942	0.027	0
MRI1	0.858	6.183	0.234	2.743	0.9	5.576	8.827	6.501	2.259	11.344	3.657	5.09	3.72	6.108	2.61	2.438
MRM1	0.118	0.477	0	0.73	0	0.779	0.596	1.891	0.39	2.001	0.296	0.864	0.182	0.716	1.958	0.749
MRO	0	0.014	0	0	0.065	0.079	0	0.056	0	0	0	0.031	0	0.062	0.038	0
MRP63	0.243	3.237	0.096	0.81	0.26	3.237	1.012	3.906	0.269	5.626	0.613	1.969	0.376	2.802	3.241	0.516
MRPL1	0.317	7.403	0	1.798	0.382	7.159	3.835	6.94	0.35	5.337	1.598	6.251	1.837	10.636	9.583	1.616
MRPL10	0	0.947	0.138	0.882	0.094	2.96	1.411	9.789	0.258	10.523	0.686	2.277	0.36	5.134	5.906	0.743
MRPL11	0.384	2.292	0.151	0.621	0.205	4.769	0.897	4.201	0.282	4.335	0.537	2.339	1.086	8.115	4.934	0.733
MRPL12	0.425	3.663	0.752	1.376	0.17	5.07	1.242	5.95	0.235	6.208	0.178	3.575	1.476	7.822	11.884	0.406
MRPL13	0.583	6.831	0.229	2.516	0.467	23.034	4.013	19.731	0.643	22.429	0.815	10.819	1.349	19.407	17.819	1.237
MRPL14	0	1.505	0.328	0.3	0.446	5.576	1.193	5.676	0.921	7.408	0.467	2.45	0	5.277	5.177	0.354
MRPL15	0.123	4.002	0.436	1.331	0.593	8.964	2.403	11.808	0.408	10.824	1.242	4.779	0.761	13.176	8.253	0.706
MRPL16	0.182	8.512	0.43	1.821	1.17	14.659	1.493	14.902	0	11.396	1.072	7.951	2.253	30.479	33.847	2.09
MRPL17	0.273	4.899	0.43	1.992	0.511	9.872	1.883	6.366	0.805	8.558	0.994	2.895	0.422	4.635	8.994	0.87
MRPL18	0.221	10.298	0.26	3.216	2.123	21.212	7.312	21.234	0.975	20.266	3.149	11.734	1.874	19.309	14.787	2.388
MRPL19	0.248	4.871	0.228	0.736	0.375	6.359	2.234	5.404	0.365	5.571	1.11	4.05	0.659	6.421	7.823	1.298
MRPL2	0.335	5.216	0	2.714	0.403	6.315	1.503	5.319	0.74	4.464	1.266	3.515	1.424	5.846	7.735	0.854
MRPL20	2.942	29.241	0.347	7.857	4.009	35.156	14.104	32.295	2.923	42.486	5.925	28.446	8.855	47.877	48.721	11.423
MRPL21	3.346	48.843	0	2.051	0.975	7.031	1.778	10.621	1.007	15.602	1.531	8.225	2.817	22.734	16.652	2.904
MRPL22	0	1.103	0	0.257	0.163	1.223	0.53	1.815	0.225	1.624	0.228	0.694	0.21	1.216	2.747	0.173
